Time,nace_r2,geo,OBS_VALUE,unit,GAS_PRICE
2004-01,C,EU27_2020,91.7,I15,11.36
2004-02,C,EU27_2020,92.6,I15,10.7975
2004-03,C,EU27_2020,92.3,I15,10.900434782608697
2004-04,C,EU27_2020,93.3,I15,10.974545454545455
2004-05,C,EU27_2020,93.2,I15,11.221904761904762
2004-06,C,EU27_2020,93.4,I15,10.607727272727272
2004-07,C,EU27_2020,94.0,I15,10.656818181818181
2004-08,C,EU27_2020,91.7,I15,12.030909090909091
2004-09,C,EU27_2020,93.5,I15,12.784999999999998
2004-10,C,EU27_2020,94.0,I15,12.065238095238096
2004-11,C,EU27_2020,92.9,I15,12.959545454545456
2004-12,C,EU27_2020,92.5,I15,14.537391304347826
2005-01,C,EU27_2020,94.1,I15,14.123333333333331
2005-02,C,EU27_2020,93.2,I15,16.8315
2005-03,C,EU27_2020,93.4,I15,18.585217391304347
2005-04,C,EU27_2020,94.9,I15,14.80857142857143
2005-05,C,EU27_2020,93.6,I15,14.289090909090909
2005-06,C,EU27_2020,94.5,I15,14.356363636363636
2005-07,C,EU27_2020,95.1,I15,15.540952380952382
2005-08,C,EU27_2020,94.4,I15,15.107826086956523
2005-09,C,EU27_2020,95.8,I15,14.746363636363638
2005-10,C,EU27_2020,96.1,I15,15.534761904761906
2005-11,C,EU27_2020,97.2,I15,19.15909090909091
2005-12,C,EU27_2020,96.3,I15,22.903636363636362
2006-01,C,EU27_2020,96.9,I15,25.694999999999997
2006-02,C,EU27_2020,96.8,I15,22.324
2006-03,C,EU27_2020,97.5,I15,26.028260869565216
2006-04,C,EU27_2020,98.2,I15,21.387999999999998
2006-05,C,EU27_2020,100.3,I15,19.692608695652176
2006-06,C,EU27_2020,99.9,I15,19.58409090909091
2006-07,C,EU27_2020,99.6,I15,19.847619047619048
2006-08,C,EU27_2020,100.4,I15,17.97826086956522
2006-09,C,EU27_2020,100.8,I15,15.951428571428572
2006-10,C,EU27_2020,100.7,I15,14.200454545454546
2006-11,C,EU27_2020,101.4,I15,19.87272727272727
2006-12,C,EU27_2020,103.7,I15,16.45809523809524
2007-01,C,EU27_2020,103.2,I15,13.603478260869565
2007-02,C,EU27_2020,103.6,I15,9.310500000000001
2007-03,C,EU27_2020,104.2,I15,10.338636363636363
2007-04,C,EU27_2020,102.8,I15,8.91904761904762
2007-05,C,EU27_2020,104.3,I15,11.71391304347826
2007-06,C,EU27_2020,104.1,I15,10.586190476190476
2007-07,C,EU27_2020,104.4,I15,14.946363636363635
2007-08,C,EU27_2020,105.2,I15,14.281304347826088
2007-09,C,EU27_2020,104.6,I15,17.057
2007-10,C,EU27_2020,105.3,I15,20.13478260869565
2007-11,C,EU27_2020,104.6,I15,22.223636363636363
2007-12,C,EU27_2020,105.8,I15,23.133333333333333
2008-01,C,EU27_2020,107.3,I15,24.26347826086956
2008-02,C,EU27_2020,107.1,I15,22.760952380952382
2008-03,C,EU27_2020,105.9,I15,23.693333333333335
2008-04,C,EU27_2020,106.5,I15,25.75318181818182
2008-05,C,EU27_2020,104.1,I15,25.01409090909091
2008-06,C,EU27_2020,104.1,I15,26.552380952380954
2008-07,C,EU27_2020,103.1,I15,25.088260869565215
2008-08,C,EU27_2020,102.9,I15,24.035238095238096
2008-09,C,EU27_2020,101.4,I15,30.28409090909091
2008-10,C,EU27_2020,99.1,I15,26.14260869565217
2008-11,C,EU27_2020,95.3,I15,23.5355
2008-12,C,EU27_2020,91.6,I15,21.674347826086954
2009-01,C,EU27_2020,87.1,I15,23.224999999999998
2009-02,C,EU27_2020,85.4,I15,17.725
2009-03,C,EU27_2020,84.7,I15,12.2
2009-04,C,EU27_2020,83.9,I15,11.327272727272726
2009-05,C,EU27_2020,85.6,I15,11.00952380952381
2009-06,C,EU27_2020,85.9,I15,10.796818181818182
2009-07,C,EU27_2020,85.9,I15,9.393478260869566
2009-08,C,EU27_2020,86.2,I15,8.778571428571428
2009-09,C,EU27_2020,88.3,I15,9.418181818181818
2009-10,C,EU27_2020,87.9,I15,10.340909090909092
2009-11,C,EU27_2020,88.3,I15,9.738095238095237
2009-12,C,EU27_2020,88.0,I15,11.4
2010-01,C,EU27_2020,89.2,I15,14.44047619047619
2010-02,C,EU27_2020,88.9,I15,13.715
2010-03,C,EU27_2020,91.2,I15,11.954782608695652
2010-04,C,EU27_2020,91.6,I15,13.493181818181819
2010-05,C,EU27_2020,93.1,I15,16.781904761904762
2010-06,C,EU27_2020,94.1,I15,19.222727272727273
2010-07,C,EU27_2020,93.4,I15,19.469545454545454
2010-08,C,EU27_2020,94.0,I15,18.13090909090909
2010-09,C,EU27_2020,94.8,I15,18.943181818181817
2010-10,C,EU27_2020,95.4,I15,18.497619047619047
2010-11,C,EU27_2020,96.3,I15,19.477272727272727
2010-12,C,EU27_2020,96.3,I15,24.09478260869565
2011-01,C,EU27_2020,96.8,I15,22.343809523809526
2011-02,C,EU27_2020,98.0,I15,21.761
2011-03,C,EU27_2020,97.9,I15,23.722608695652173
2011-04,C,EU27_2020,98.0,I15,22.854761904761904
2011-05,C,EU27_2020,98.7,I15,22.989545454545453
2011-06,C,EU27_2020,97.1,I15,22.613636363636363
2011-07,C,EU27_2020,98.0,I15,21.51142857142857
2011-08,C,EU27_2020,98.1,I15,21.93565217391304
2011-09,C,EU27_2020,97.3,I15,23.39363636363636
2011-10,C,EU27_2020,97.2,I15,22.554761904761904
2011-11,C,EU27_2020,97.5,I15,23.736363636363638
2011-12,C,EU27_2020,97.0,I15,22.296818181818182
2012-01,C,EU27_2020,96.3,I15,21.865454545454543
2012-02,C,EU27_2020,95.7,I15,25.41142857142857
2012-03,C,EU27_2020,96.8,I15,23.80727272727273
2012-04,C,EU27_2020,95.1,I15,24.78952380952381
2012-05,C,EU27_2020,96.7,I15,24.196521739130436
2012-06,C,EU27_2020,95.6,I15,23.673333333333332
2012-07,C,EU27_2020,96.1,I15,24.332727272727276
2012-08,C,EU27_2020,97.0,I15,24.05652173913043
2012-09,C,EU27_2020,95.0,I15,25.825499999999998
2012-10,C,EU27_2020,94.3,I15,26.702173913043477
2012-11,C,EU27_2020,93.5,I15,27.24909090909091
2012-12,C,EU27_2020,94.0,I15,27.22333333333333
2013-01,C,EU27_2020,93.6,I15,26.51782608695652
2013-02,C,EU27_2020,93.5,I15,26.3165
2013-03,C,EU27_2020,94.0,I15,32.31666666666666
2013-04,C,EU27_2020,94.7,I15,28.575
2013-05,C,EU27_2020,94.9,I15,26.73304347826087
2013-06,C,EU27_2020,95.3,I15,26.23
2013-07,C,EU27_2020,94.8,I15,26.070434782608697
2013-08,C,EU27_2020,95.2,I15,25.55181818181818
2013-09,C,EU27_2020,95.4,I15,26.478571428571428
2013-10,C,EU27_2020,95.1,I15,25.868695652173916
2013-11,C,EU27_2020,96.4,I15,27.18047619047619
2013-12,C,EU27_2020,96.3,I15,27.702727272727273
2014-01,C,EU27_2020,96.5,I15,26.253913043478263
2014-02,C,EU27_2020,97.3,I15,23.849
2014-03,C,EU27_2020,96.7,I15,22.767142857142858
2014-04,C,EU27_2020,98.2,I15,20.423181818181817
2014-05,C,EU27_2020,97.0,I15,19.08818181818182
2014-06,C,EU27_2020,96.7,I15,17.39190476190476
2014-07,C,EU27_2020,97.7,I15,16.50565217391304
2014-08,C,EU27_2020,95.9,I15,17.497142857142858
2014-09,C,EU27_2020,96.9,I15,20.74863636363636
2014-10,C,EU27_2020,96.7,I15,21.268260869565218
2014-11,C,EU27_2020,96.6,I15,22.978
2014-12,C,EU27_2020,97.9,I15,22.520869565217392
2015-01,C,EU27_2020,97.3,I15,19.755
2015-02,C,EU27_2020,99.5,I15,22.566
2015-03,C,EU27_2020,99.9,I15,21.856818181818184
2015-04,C,EU27_2020,99.5,I15,22.078181818181818
2015-05,C,EU27_2020,100.2,I15,20.548571428571428
2015-06,C,EU27_2020,100.6,I15,20.520454545454545
2015-07,C,EU27_2020,100.6,I15,20.858260869565218
2015-08,C,EU27_2020,100.2,I15,19.576190476190476
2015-09,C,EU27_2020,100.4,I15,19.16
2015-10,C,EU27_2020,100.5,I15,18.243636363636366
2015-11,C,EU27_2020,100.2,I15,17.202380952380953
2015-12,C,EU27_2020,100.9,I15,15.640869565217391
2016-01,C,EU27_2020,103.4,I15,13.904285714285715
2016-02,C,EU27_2020,101.5,I15,12.476666666666667
2016-03,C,EU27_2020,100.5,I15,12.267826086956523
2016-04,C,EU27_2020,102.2,I15,11.979999999999999
2016-05,C,EU27_2020,100.6,I15,13.04090909090909
2016-06,C,EU27_2020,101.9,I15,14.41590909090909
2016-07,C,EU27_2020,101.9,I15,14.241904761904761
2016-08,C,EU27_2020,101.8,I15,11.980869565217391
2016-09,C,EU27_2020,101.8,I15,12.282272727272726
2016-10,C,EU27_2020,102.7,I15,16.093809523809526
2016-11,C,EU27_2020,103.1,I15,17.90590909090909
2016-12,C,EU27_2020,103.1,I15,17.689545454545456
2017-01,C,EU27_2020,102.2,I15,20.12272727272727
2017-02,C,EU27_2020,103.7,I15,19.553
2017-03,C,EU27_2020,103.7,I15,15.799130434782608
2017-04,C,EU27_2020,104.3,I15,16.058
2017-05,C,EU27_2020,104.9,I15,15.669130434782607
2017-06,C,EU27_2020,104.3,I15,15.134545454545453
2017-07,C,EU27_2020,105.8,I15,15.095714285714285
2017-08,C,EU27_2020,106.7,I15,15.99304347826087
2017-09,C,EU27_2020,106.2,I15,17.302857142857142
2017-10,C,EU27_2020,106.8,I15,17.10363636363636
2017-11,C,EU27_2020,109.1,I15,19.57090909090909
2017-12,C,EU27_2020,109.7,I15,20.795238095238094
2018-01,C,EU27_2020,108.0,I15,18.6
2018-02,C,EU27_2020,106.2,I15,21.679
2018-03,C,EU27_2020,106.3,I15,23.622727272727275
2018-04,C,EU27_2020,106.8,I15,19.645238095238096
2018-05,C,EU27_2020,108.4,I15,21.566086956521737
2018-06,C,EU27_2020,108.1,I15,21.92761904761905
2018-07,C,EU27_2020,106.5,I15,22.253636363636364
2018-08,C,EU27_2020,108.2,I15,23.94347826086957
2018-09,C,EU27_2020,107.3,I15,27.837
2018-10,C,EU27_2020,108.3,I15,25.539565217391303
2018-11,C,EU27_2020,106.4,I15,24.633636363636366
2018-12,C,EU27_2020,107.2,I15,23.666190476190476
2019-01,C,EU27_2020,107.9,I15,21.39782608695652
2019-02,C,EU27_2020,108.0,I15,18.0035
2019-03,C,EU27_2020,108.1,I15,15.697619047619046
2019-04,C,EU27_2020,107.9,I15,15.041818181818183
2019-05,C,EU27_2020,108.3,I15,13.298695652173913
2019-06,C,EU27_2020,106.5,I15,10.5225
2019-07,C,EU27_2020,106.4,I15,10.941304347826087
2019-08,C,EU27_2020,106.9,I15,10.029545454545454
2019-09,C,EU27_2020,107.1,I15,9.568095238095239
2019-10,C,EU27_2020,107.7,I15,10.30913043478261
2019-11,C,EU27_2020,106.1,I15,14.763809523809524
2019-12,C,EU27_2020,104.5,I15,13.031363636363636
2020-01,C,EU27_2020,107.2,I15,11.144782608695651
2020-02,C,EU27_2020,106.7,I15,9.3725
2020-03,C,EU27_2020,95.3,I15,8.622727272727273
2020-04,C,EU27_2020,76.0,I15,6.54
2020-05,C,EU27_2020,86.4,I15,4.575714285714286
2020-06,C,EU27_2020,95.3,I15,4.991818181818181
2020-07,C,EU27_2020,100.1,I15,4.879565217391304
2020-08,C,EU27_2020,101.0,I15,7.533333333333333
2020-09,C,EU27_2020,101.5,I15,11.161818181818182
2020-10,C,EU27_2020,104.5,I15,13.955454545454545
2020-11,C,EU27_2020,107.6,I15,13.794285714285715
2020-12,C,EU27_2020,108.1,I15,16.34565217391304
2021-01,C,EU27_2020,109.0,I15,20.476190476190474
2021-02,C,EU27_2020,107.4,I15,17.4085
2021-03,C,EU27_2020,108.9,I15,17.795217391304348
2021-04,C,EU27_2020,109.9,I15,20.775454545454547
2021-05,C,EU27_2020,108.2,I15,25.285238095238096
2021-06,C,EU27_2020,107.1,I15,29.238636363636363
2021-07,C,EU27_2020,109.7,I15,36.13954545454545
2021-08,C,EU27_2020,107.1,I15,44.30409090909091
2021-09,C,EU27_2020,107.3,I15,64.45363636363636
2021-10,C,EU27_2020,108.0,I15,87.69238095238094
2021-11,C,EU27_2020,109.3,I15,81.92136363636364
2021-12,C,EU27_2020,113.7,I15,112.80739130434783
2022-01,C,EU27_2020,111.5,I15,84.06952380952382
2022-02,C,EU27_2020,111.9,I15,81.164
2022-03,C,EU27_2020,111.6,I15,129.18304347826088
2022-04,C,EU27_2020,110.2,I15,101.06238095238095
2022-05,C,EU27_2020,113.7,I15,88.58863636363637
2022-06,C,EU27_2020,113.3,I15,106.29454545454546
2022-07,C,EU27_2020,110.6,I15,171.41666666666666
2022-08,C,EU27_2020,113.9,I15,235.68391304347824
2022-09,C,EU27_2020,114.7,I15,190.24181818181816
2022-10,C,EU27_2020,113.9,I15,72.15047619047618
2022-11,C,EU27_2020,114.2,I15,96.28181818181817
2022-12,C,EU27_2020,113.5,I15,113.99181818181819
2023-01,C,EU27_2020,113.5,I15,63.004090909090905
2023-02,C,EU27_2020,115.3,I15,53.352999999999994
2023-03,C,EU27_2020,110.3,I15,44.18782608695652
2023-04,C,EU27_2020,111.6,I15,42.585
2023-05,C,EU27_2020,111.8,I15,31.335652173913044
2023-06,C,EU27_2020,112.9,I15,32.39909090909091
2023-07,C,EU27_2020,108.6,I15,29.665714285714287
2023-08,C,EU27_2020,109.0,I15,33.52304347826087
2023-09,C,EU27_2020,108.5,I15,36.52761904761905
2023-10,C,EU27_2020,108.1,I15,43.264545454545456
2023-11,C,EU27_2020,108.7,I15,43.269090909090906
2023-12,C,EU27_2020,116.1,I15,35.318571428571424
